_id,placeId,stationName,address,bussinessStatus,location,openingHours,rating,totalUserRating,__v
{'$oid': '66a7efb33147785e8b320856'},ChIJhXkFHAArdTERZ0tTo0HwuIA,VinFast Charging Station,"35-29 Nguyễn Văn Bứa, Xuân Thới Sơn, Hóc Môn, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8756926, 'lng': 106.5764832}",Open,5,1,0
{'$oid': '66a7efb33147785e8b320859'},ChIJjSYFoggvdTERIMKtX3lS_NM,VinFast Charging Station,"Leman Luxury Apartments, Tầng hầm B3, Tòa, 117 Nguyễn Đình Chiểu, Phường 6, Quận 3, Hồ Chí Minh 72400, Vietnam",OPERATIONAL,"{'lat': 10.777943, 'lng': 106.689789}",Open,1,1,0
{'$oid': '66a7efb33147785e8b32085c'},ChIJRaI7fOQrdTERPHrhC4iW_wk,Rửa Xe 280,"280 Đ. Lê Trọng Tấn, Tây Thạnh, Tân Phú, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8073183, 'lng': 106.6228226}",Closed,0,0,0
{'$oid': '66a7efb43147785e8b32085f'},ChIJgY9mp4MpdTERdBo3T7U_G6s,VinFast Charging Station,"Vincom Plaza, Bãi xe tầng Hầm B3 TTTM, 190 Đ. Quang Trung, Phường 10, Gò Vấp, Hồ Chí Minh 71400, Vietnam",OPERATIONAL,"{'lat': 10.8292699, 'lng': 106.67258}",Open,4.5,8,0
{'$oid': '66a7efb43147785e8b320862'},ChIJwa3fKQApdTERP9cB5vxVEvs,Vinfast Charging Station,"108/4 Đ. Số 5, Phường 17, Gò Vấp, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8462718, 'lng': 106.6760233}",Closed,5,1,0
{'$oid': '66a7efb43147785e8b320865'},ChIJYdhhYwDVdDER9pqRTteClqI,VinFast Charging Station,"VJM3+QHH, Thới Tam Thôn, Hóc Môn, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8844439, 'lng': 106.6039692}",Open,5,10,0
{'$oid': '66a7efb53147785e8b320868'},ChIJGY5kIQDXdDERkyndmSjRUD4,Vinfast Charging Station,"Đông Thạnh, Hóc Môn, Ho Chi Minh City, Vietnam",OPERATIONAL,"{'lat': 10.897097, 'lng': 106.6292995}",Open,5,2,0
{'$oid': '66a7efb53147785e8b32086b'},ChIJSxTOKcErdTERrcENT5dozYs,VinFast Charging Station,"27 Nguyễn Thị Thử, Xuân Thới Sơn, Hóc Môn, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8693153, 'lng': 106.5800208}",Open,5,9,0
{'$oid': '66a7efb53147785e8b32086e'},ChIJ-z6V5VcpdTERIpGjR_yu-JI,Rửa Xe 204,"204 Đ. Tân Kỳ Tân Quý, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8028919, 'lng': 106.629809}",Closed,0,0,0
{'$oid': '66a7efb63147785e8b320871'},ChIJwQ9bp70ndTERGKU_rVxPEew,VinFast Charging Station,"192 Đường Số 6, Bình Hưng Hoà B, Bình Tân, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7934218, 'lng': 106.5850905}",Open,5,2,0
{'$oid': '66a7efb63147785e8b320874'},ChIJdx4_N5EudTERtuMttBmMaok,Rửa Xe 189,"189 Bình Thới, Phường 9, Quận 11, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7646528, 'lng': 106.6459704}",Closed,0,0,0
{'$oid': '66a7efb63147785e8b320877'},ChIJy103JQAtdTERbzN009uMkgg,VinFast Charging Station,"PHWM+C3C, Đường Lê Ngung, Tân Tạo A, Bình Tân, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7460522, 'lng': 106.5826364}",Open,4.7,15,0
{'$oid': '66a7efb73147785e8b32087a'},ChIJKUUU-UspdTER4Gy6mhhE34g,Rửa Xe 18,"18 Hoàng Hoa Thám, Phường 12, Tân Bình, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7972989, 'lng': 106.6471463}",Closed,1,1,0
{'$oid': '66a7efb73147785e8b32087d'},ChIJJzH4rVApdTERLyFjObYQiEs,VinFast Charging Station,"Vincom Plaza, Bãi xe tầng Hầm B TTTM, số 12 Đ. Phan Văn Trị, Phường 5, Gò Vấp, Hồ Chí Minh 71400, Vietnam",OPERATIONAL,"{'lat': 10.827084, 'lng': 106.68924}",Open,3.7,3,0
{'$oid': '66a7efb73147785e8b320880'},ChIJOYSLgMordTERpGVkuZcFCoQ,Rửa Xe 369,"RJP4+486, Phan Văn Hớn, Tân Thới Nhất, Quận 12, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8353316, 'lng': 106.6057734}",Closed,0,0,0
{'$oid': '66a7efb83147785e8b320883'},ChIJi1qAhUEpdTER_H5K05uVVJU,Electric Vehicle Charging Station,"Đ. Nguyễn Kiệm, Phường 9, Phú Nhuận, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8034242, 'lng': 106.6781687}",Closed,0,0,0
{'$oid': '66a7efb83147785e8b320886'},ChIJJRVufkrXdDERUyEqr7Vvcqo,VinFast Charging Station,"VMMF+7H3, Thạnh Xuân, Quận 12, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.88313, 'lng': 106.6739209}",Open,4,2,0
{'$oid': '66a7efb83147785e8b320889'},ChIJN-5qYAAvdTERNF7-fUXNt3k,Electric Vehicle Charging Station,"103 Lý Chính Thắng, Phường 8, Quận 3, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.788874, 'lng': 106.6854985}",Closed,0,0,0
{'$oid': '66a7efb93147785e8b32088c'},ChIJQfCsW7wpdTERTTx5Z5sc5gY,Rửa Xe Năm,"51 Đ. Lê Văn Thọ, Phường 16, Gò Vấp, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8492923, 'lng': 106.6565701}",Closed,0,0,0
{'$oid': '66a7efb93147785e8b32088f'},ChIJmQZM-I4rdTERT-jT04H6oJk,VinFast Charging Station,"86/2 Trung Mỹ Tây 6, Trung Chánh, Thành phố Hồ Chí Minh, Hồ Chí Minh 700000, Vietnam",OPERATIONAL,"{'lat': 10.8644425, 'lng': 106.6119213}",Closed,4.6,10,0
{'$oid': '66a7efb93147785e8b320892'},ChIJpwap75YvdTERpYC34nnF9_s,VinFast Charging Station,"Hầm, 72 Đ. Lê Thánh Tôn, Quận 1, Hồ Chí Minh 71000, Vietnam",OPERATIONAL,"{'lat': 10.778114, 'lng': 106.701935}",Closed,0,0,0
{'$oid': '66a7efba3147785e8b320895'},ChIJ43kyZ8IodTERNQ-9ImuqwQg,Rửa Xe 303,"Phường 7, Bình Thạnh, Ho Chi Minh City, Vietnam",OPERATIONAL,"{'lat': 10.8100768, 'lng': 106.6917173}",Closed,0,0,0
{'$oid': '66a7efba3147785e8b320898'},ChIJg4bLaLQtdTERfS8YFbxE3aw,3T E-Scooter Garage,"28 Chiến Lược, Bình Trị Đông, Bình Tân, Hồ Chí Minh 700000, Vietnam",OPERATIONAL,"{'lat': 10.7602376, 'lng': 106.6211367}",Open,5,3,0
{'$oid': '66a7efba3147785e8b32089b'},ChIJYTw1TgAtdTER4TycMd3ZDPM,VinFast Charging Station,"QHGJ+GMW, Đường 1A, Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7763708, 'lng': 106.5816922}",Closed,5,3,0
{'$oid': '66a7efbb3147785e8b32089e'},ChIJ5TMclh0pdTERZHQXy_2orAY,Rửa Xe 391,"391 Nguyễn Văn Công, Phường 15, Gò Vấp, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8195447, 'lng': 106.6748309}",Closed,5,1,0
